News,State
 تشييع جثامين أبناء وأحفاد إسماعيل هنية في غزة بعد مقتلهم بغارة إسرائيلية,1
لماذا قتلت إسرائيل أبناء وأحفاد رئيس حركة حماس إسماعيل هنية؟,1
"معايدة الغزيين لبعضهم: ""نحن لسنا بخير"" ",1
هل ينجح فتح معبر بيت حانون وميناء أسدود في تفادي حدوث مجاعة في غزة؟,1
"شركة أبل تتعرض لانتقادات بسبب ""إيموجي"" العلم الفلسطيني",1
"ردّاً على تهديدات إيرانية.. بايدن يقول إنه سيبذل كل ما في وسعه لـ""حماية أمن إسرائيل""",1
 عيد الفطر: كيف يمر على أطفال غزة هذا العام بسبب الحرب؟,1
"مراسلة بي بي سي تعود إلى سوريا: ""هذي بلادٌ لم تعد كبلادي""",1
 شركة يابانية توقف إنتاج الحفاضات للأطفال وتنتجها للكبار.. ما القصة؟,1
كعك ومأكولات فلسطينية تنتشر في القاهرة,1
كيف بدت أجواء اليوم الأول من عيد الفطر في قطاع غزة؟,1
الشيعة والسنة في العراق يتفقون على بداية العيد لأول مرة منذ سنوات,1
 كعك عيد الفطر في مصر هذا العام بنكهة فلسطينية,1
"""ما يقوم به خطأ"".. بايدن ينتقد استراتيجية نتنياهو في غزة",1
"""هل يمكن اتهام حلفاء إسرائيل بارتكاب جرائم حرب""؟ - مجلة التايم الأمريكية",1
رونالدو يثير الجدل مجدداً في السعودية بعد ضربه البليهي,1
عيد الفطر: عيد مثقل بالآلام لأيتام غزة ,1
هل ينجح الضغط الأمريكي في تحقيق هدنة بين إسرائيل وحماس في غزة؟,1
 عيد الفطر: أطفال أيتام في قطاع غزة يستعدون للاحتفال بالعيد رغم حرب غزة,1
"ألمانيا أمام محكمة العدل الدولية: ""التاريخ"" هو الدافع وراء مساعدة إسرائيل ",1
"مظاهرات الأردن: ما كواليسها؟ وهل تسعى ""أطراف خارجية"" خلفها؟",1
إلى ماذا يشير الانسحاب الإسرائيلي من غزة؟,1
" بعد جدل ""زوجة واحدة لا تكفي"".. الكويت توقف عرض مسرحية ""زين الزمان""  في العيد",1
 محفوظ ولد مأمون.. غضب في موريتانيا بعد جريمة اغتصاب وقتل طفل من ذوي الاحتياجات الخاصة,1
الجوع يدفع سكان دارفور في السودان إلى أكل الجراد,1
 نشطاء يهود ومسيحيون يوزعون الحلوى والتمور على مصلين مسلمين في القدس,1
"""إسرائيل ترتكب نفس الخطأ الذي ارتكبته الولايات المتحدة في العراق"" - نيويورك تايمز",1
 كسوف الشمس الكلي يغرق أجزاء من أمريكا الشمالية في الظلام,1
بالصور: ظلام مهيب مع الكسوف الكلي للشمس لعام 2024,1
"ميانمار: بعد مذابح وجرائم ""تطهير عرقي"" الجيش يجنّد مسلمي الروهينجا قسرا في معاركه",1
"مناشدات دولية لإسرائيل بعدم تنفيذ عملية عسكرية تستهدف رفح جنوبي قطاع غزة ونتنياهو يقول ""الموعد حدد""",1
لماذا تصر روسيا على اتهام أوكرانيا بالهجوم على قاعة الحفلات الموسيقية؟,1
"""أي عيد هذا؟""، مسلمو القدس يتضامنون مع سكان غزة",1
لماذا عادت الانتقادات المتبادلة بين الهند وباكستان بشأن عمليات القتل؟,1
"مرور ثلاثين عاماً على ""أكبر إبادة في التاريخ""، فماذا نعرف عنها؟",1
القمر يغطي الشمس بشكل كامل في سواحل مكسيكو ,1
شهود من خان يونس يروون لبي بي سي حجم الدمار في المنطقة بعد انسحاب القوات الإسرائيلية,1
" محمد السادس.. خطأ في كتابة ""أمير المؤمنين"" تثير غضبا بالمغرب",1
 كسوف كلي للشمس يمنع رؤية هلال شوال,1
" داليا نعيم.. غموض يحيط بحادثة ""اختطاف"" المؤثرة المعروفة بلقب ""باربي العراق""",1
نيكاراغوا تتهم ألمانيا بزيادة الدعم العسكري لإسرائيل، وبريطانيا تقول إن ذلك ما زال قانونياً,1
 بي بي سي تزور كيبوتس نير عوز في إسرائيل، التي لم يمسها أحد منذ هجوم حماس,1
 كيف بدت خان يونس بعد انسحاب الجيش الإسرائيلي منها؟,1
الجيش الإسرائيلي يترك خان يونس وصور الأقمار الصناعية تكشف زيادة الدمار فيها خلال شهر مارس,1
أنباء متناقضة بشأن نتائج جولة مفاوضات القاهرة بين إسرائيل وحماس,1
من هو وليد دقة الذي أُعلن عن وفاته في السجون الإسرائيلية؟,1
حرب غزة: بعد ستة أشهر .. العقبات أمام السلام تبدو أكبر من أي وقت مضى,1
 كيف يستقبل الغزيون عيد الفطر؟,1
"كعكة الطبقات الماليزية التي تفوز بلقب ""أجمل كعكة"" لعيد الفطر",1
لماذا تهيج بعض الحيوانات أثناء كسوف الشمس؟,1
قصة امرأة أفريقية أصبحت خبيرة في تحليل صور الأقمار الاصطناعية,1
"إسرائيل تسحب كامل قواتها من جنوبي غزة، وتستكمل ""مرحلة أخرى"" استعداداً ""للحرب"" على حدود لبنان",1
يجب على قطر أن تستخدم كل مواردها لمعاقبة حماس ونزع سلاحها – مقال في جيروزالم بوست,1
حرب غزة بالأرقام بعد ستة أشهر من اندلاعها ,1
هل تستطيع ماكدونالدز إنهاء جدل المقاطعة، بعد استعادة فروعها في إسرائيل؟,1
ماذا نعرف عن الفلسطيني الذي قُتل ضمن فريق المطبخ المركزي العالمي في غزة؟,1
"""عندما تنتهي الحرب في غزة سأعيش في خيمة بجوار منزلي المُهدم""",1
بعد ستة أشهر من الحرب، هل اقتربت إسرائيل من القضاء على حماس؟,1
من هو أحمد فتحي سرور الذي شيّعت جنازته في مصر؟,1
البنكرياس الصناعي: تكنولوجيا جديدة لمساعدة مرضى داء السكري,1
مطالبات لإسرائيل بالنشر الكامل لتقرير حادثة مقتل عُمال المطبخ المركزي العالمي  ,1
كيف ينبغي لإيران أن ترد على هجوم إسرائيل في دمشق - مقال في طهران تايمز,1
بي بي سي تكشف أخطاء جسيمة ارتكبها الجيش الإسرائيلي في تحذيرات إخلاء الغزيين,1
كيف يمكن مشاهدة الكسوف الكلي للشمس بأمان؟,1
الحرب في غزة: من الحاكم المستقبلي للقطاع؟,1
من أين تحصل إسرائيل على أسلحتها في حربها بغزة؟,1
إيناكي ونيكو ويليامز: شقيقان، فريق واحد وانتظار لمدة 40 عامًا,1
 المسجد النبوي.. جدل بسبب دعاء على المظاهرات والثورات,1
" مصر للطيران تبيع 12 طائرة ""لعدم ملاءمتها لأجواء مصر  المناخية""",1
 بوتسوانا تهدد بإرسال 20 ألف فيل هدية لألمانيا!,1
إسرائيل تُعلن السماح بإدخال المساعدات الإنسانية إلى شمال قطاع غزة مؤقتاً ,1
 سرقة 30 مليون دولار نقدا من منشأة لتخزين الأموال في الولايات المتحدة,1
 سرقة 30 مليون دولار نقدا من منشأة لتخزين الأموال في الولايات المتحدة,1
 ما هو يوم القدس الذي تحييه دول عربية وإسلامية في رمضان كل عام؟,1
حاصباني في بلا قيود : حزب الله يعمل كقاعدة  عسكرية تأتمر بإيران,1
" كيف أصبحت ""الخرطوم الصغيرة"" في السعودية؟",1
"""قد تمر بهياكل عظمية"" .. معبر الموت في جنوب أفريقيا",1
بي بي سي توثق تفاصيل قصف قافلة المطبخ المركزي العالمي في غزة,1
من هو رون آراد ولماذا تخشى عائلات المحتجزين الإسرائيليين تكرار مصيره؟,1
ماكدونالدز تسترد ملكية فروع مطاعمها في إسرائيل,1
